step,NG_price,NG_lower,NG_upper,OL_price,OL_lower,OL_upper
4977,3.3009079504481043,3.3004368277491754,3.3013791403977053,62.12859840547589,62.1233095727273,62.13388768848627
4978,3.3018135318713573,3.3008397473447197,3.302787603675286,62.127196814737175,62.11637465619796,62.138020858755326
4979,3.30271800680583,3.301217803476745,3.3042188918863653,62.125795258793964,62.109210376005215,62.14238457020669
4980,3.3036228902699327,3.3015780867750104,3.3056689601960043,62.12439373586844,62.10182999852587,62.14696567139524
4981,3.304528003404691,3.301924531903915,3.307133527667058,62.122992245364394,62.0942453154827,62.15175248382202
4982,3.30543327802626,3.3022601647749474,3.308609440294671,62.12159078647718,62.08646690432889,62.156734539092575
4983,3.3063387539075753,3.3025873840390876,3.310094384912636,62.12018935920606,62.07850432932715,62.161902380122065
4984,3.307244464690659,3.3029080392712373,3.3115865834521885,62.11878796355034,62.070366296724714,62.16724740456612
4985,3.308150424847905,3.303223552935451,3.3130846453598246,62.11738659950929,62.062060778466495,62.17276174128744
4986,3.3090566315303804,3.3035350197386553,3.3145874722833835,62.11598526708221,62.053595111799275,62.17843815090602
4987,3.3099630848819235,3.3038432988470317,3.3160942067392876,62.11458396626837,62.04497608053074,62.18426994467466
4988,3.3108697858414238,3.3041490656167656,3.317604176175827,62.11318269706708,62.0362099821031,62.19025091752459
4989,3.3117767350392473,3.3044528514303426,3.319116851069533,62.11178145947761,62.02730268354012,62.19637529222522
4990,3.3126839326634983,3.304755074941799,3.3206318135150057,62.11038025349926,62.01825966855423,62.202637672373825
4991,3.313591378754911,3.3050560666029702,3.322148733363037,62.1089790791313,62.00908607754943,62.20903300248124
4992,3.314499073397099,3.3053560876758703,3.3236673496424607,62.107577936373026,61.99978674185458,62.215556533820255
4993,3.3154070166750595,3.3056553448793013,3.325187455868776,62.106176825223734,61.990366213226544,62.222203794998315
4994,3.316315208664762,3.305954001881536,3.326708888557399,62.104775745682694,61.9808287894416,62.22897056643711
4995,3.3172236494353444,3.30625218833687,3.328231518209878,62.1033746977492,61.971178536625814,62.23585285810887
4996,3.318132339054949,3.306550007002803,3.3297552422206396,62.10197368142254,61.96141930884712,62.24284689000709
