step,NG_price,NG_lower,NG_upper,OL_price,OL_lower,OL_upper
4977,3.3009079504481043,3.3004368277491754,3.3013791403977053,62.12859840547589,62.1233095727273,62.13388768848627
4978,3.3018135318713573,3.3008397473447197,3.302787603675286,62.127196814737175,62.11637465619796,62.138020858755326
4979,3.30271800680583,3.301217803476745,3.3042188918863653,62.125795258793964,62.109210376005215,62.14238457020669
4980,3.3036228902699327,3.3015780867750104,3.3056689601960043,62.12439373586844,62.10182999852587,62.14696567139524
4981,3.304528003404691,3.301924531903915,3.307133527667058,62.122992245364394,62.0942453154827,62.15175248382202
4982,3.30543327802626,3.3022601647749474,3.308609440294671,62.12159078647718,62.08646690432889,62.156734539092575
4983,3.3063387539075753,3.3025873840390876,3.310094384912636,62.12018935920606,62.07850432932715,62.161902380122065
4984,3.307244464690659,3.3029080392712373,3.3115865834521885,62.11878796355034,62.070366296724714,62.16724740456612
4985,3.308150424847905,3.303223552935451,3.3130846453598246,62.11738659950929,62.062060778466495,62.17276174128744
4986,3.3090566315303804,3.3035350197386553,3.3145874722833835,62.11598526708221,62.053595111799275,62.17843815090602
