step,ng_return_mean,ng_return_lower,ng_return_upper,ol_return_mean,ol_return_lower,ol_return_upper,ng_return_mean,ng_return_lower,ng_return_upper,ol_return_mean,ol_return_lower,ol_return_upper
4977,0.0002750986563201004,0.0001323632847986472,0.00041783402784155356,-2.2559316492428448e-05,-0.00010769012595603306,6.257149297117618e-05,-0.007826532897951223,-0.16964455406941664,0.15399148827351422,-0.0024040313292316515,-0.07364780851698435,0.06883974585852104
4978,0.0002743055061026382,0.00012207323582384227,0.0004265377763814341,-2.2559764496981073e-05,-0.00011163770383977891,6.651817484581678e-05,-0.0028391982145158537,-0.1646572193859813,0.15897882295694957,-0.0023010224213464627,-0.07354479960909915,0.06894275476640624
4979,0.0002738952595897327,0.00011452676064348469,0.0004332637585359807,-2.2559713369948334e-05,-0.00011534307041223894,7.022364367234227e-05,0.002255065170003784,-0.15956295600146164,0.16407308634146922,-0.002390176820136478,-0.07363395400788918,0.06885360036761622
4980,0.00027394392262216857,0.00010913052731349203,0.0004387573179308452,-2.2559690845207018e-05,-0.00011883609485566859,7.371671316525456e-05,-0.0017223439349662855,-0.16354036510643172,0.16009567723649915,-0.0023260913580885525,-0.07356986854584124,0.06891768582966415
4981,0.00027393839970732436,0.00010492768738900704,0.00044294911202564174,-2.2559677904377024e-05,-0.0001221404627066224,7.702110689786836e-05,-0.000620745163873801,-0.16243876633533924,0.16119727600759162,-0.0023609415847479324,-0.07360471877250063,0.06888283560300476
4982,0.0002739122329724765,0.00010164248479906768,0.0004461819811458854,-2.2559677904377024e-05,-0.00012527567324991057,8.015631744115653e-05,-0.0003520902003123352,-0.16217011137177775,0.1614659309711531,-0.00234411539200573,-0.07358789257975842,0.06889966179574697
4983,0.0002738980964868336,9.908457749862241e-05,0.0004487116154750448,-2.2559677904377024e-05,-0.00012825799311259775,8.31386373038437e-05,-0.0007501515311109737,-0.1625681727025764,0.16106786964035447,-0.0023506883744196924,-0.07359446556217239,0.068893088813333
4984,0.00027389412329434495,9.708741338908623e-05,0.00045070083319960366,-2.2559677904377024e-05,-0.00013110119444587577,8.598183863712173e-05,-0.0005850715615662532,-0.1624030927330317,0.16123294960989917,-0.0023467255565229137,-0.07359050274427562,0.06889705163122978
4985,0.00027389450759528314,9.552145913229743e-05,0.00045226755605826883,-2.255967790437702e-05,-0.0001338170608005025,8.869770499174843e-05,-0.0005894321873621345,-0.16240745335882756,0.1612285889841033,-0.0023483010584061754,-0.07359207824615888,0.06889547612934652
4986,0.000273894010092272,9.428732713896188e-05,0.0004535006930455822,-2.255967790437702e-05,-0.00013641577478085685,9.12964189721028e-05,-0.0006235016041679336,-0.16244152277563337,0.1611945195672975,-0.0023464878495520446,-0.07359026503730474,0.06889728933820065
