series,adf_stat,adf_p,kpss_stat,kpss_p
log_NG,-3.449956603244498,0.00936926510434674,2.2255159669989606,0.01
log_OL,-2.9361739767938397,0.04130027552468613,5.379857303482846,0.01
dlog_NG,-30.890001595278637,0.0,0.060805574571681384,0.1
dlog_OL,-27.34349960289701,0.0,0.042314200514536875,0.1
