commodity,scenario,RMSE_PY_vs_R,MAE_PY_vs_R,n
NG,Cold,0.036302220845038306,0.035013902074604975,16.0
NG,Normal,0.034054146464213834,0.03308845423150297,16.0
NG,Warm,0.032098685281507125,0.031158667183780686,16.0
OL,Cold,0.060066046385581745,0.05556801044811088,16.0
OL,Normal,0.0352706715670546,0.031581249684728974,16.0
OL,Warm,0.07383237123175594,0.05637251301126689,16.0
