Date,Price
2006-03-28,7.214
2006-03-29,7.233
2006-04-25,7.254
2006-04-26,7.198
2006-05-25,6.005
2006-05-26,5.925
2006-06-27,6.107
2006-06-28,5.887
2006-07-26,6.887
2006-07-27,7.042
2006-08-28,6.472
2006-08-29,6.816
2006-09-26,4.526
2006-09-27,4.201
2006-10-26,7.497
2006-10-27,7.153
2006-11-27,7.998
2006-11-28,8.318
2006-12-26,6.113
2006-12-27,5.838
2007-01-26,7.175
2007-01-29,6.917
2007-02-23,7.755
2007-02-26,7.547
2007-03-27,7.503
2007-03-28,7.558
2007-04-25,7.689
2007-04-26,7.508
2007-05-25,7.52
2007-05-29,7.591
2007-06-26,6.877
2007-06-27,6.929
2007-07-26,5.943
2007-07-27,6.11
2007-08-28,5.638
2007-08-29,5.43
2007-09-25,6.36
2007-09-26,6.423
2007-10-26,7.218
2007-10-29,7.269
2007-11-27,7.557
2007-11-28,7.203
2007-12-26,7.046
2007-12-27,7.172
2008-01-28,8.095
2008-01-29,7.996
2008-02-26,9.206
2008-02-27,8.93
2008-03-26,9.572
2008-03-27,9.578
2008-04-25,10.963
2008-04-28,11.28
2008-05-27,11.801
2008-05-28,11.916
2008-06-25,12.753
2008-06-26,13.105
2008-07-28,9.163
2008-07-29,9.217
2008-08-26,8.278
2008-08-27,8.394
2008-09-25,7.724
2008-09-26,7.472
2008-10-28,6.131
2008-10-29,6.469
2008-11-21,6.48
2008-11-24,6.888
2008-12-26,5.826
2008-12-29,6.136
2009-01-27,4.503
2009-01-28,4.476
2009-02-24,4.236
2009-02-25,4.056
2009-03-26,3.947
2009-03-27,3.631
2009-04-27,3.253
2009-04-28,3.321
2009-05-26,3.537
2009-05-27,3.538
2009-06-25,3.844
2009-06-26,3.949
2009-07-28,3.555
2009-07-29,3.379
2009-08-26,2.91
2009-08-27,2.843
2009-09-02,2.625
2009-09-03,2.508
2009-09-25,3.985
2009-09-28,3.729
2009-10-27,4.557
2009-10-28,4.289
2009-11-23,4.473
2009-11-24,4.486
2009-12-28,5.99
2009-12-29,5.814
2010-05-28,4.341
2010-06-01,4.248
2010-06-02,4.424
2010-06-03,4.69
2010-06-04,4.797
2010-06-07,4.916
2010-06-08,4.808
2010-06-09,4.677
2010-06-10,4.647
2010-06-11,4.781
2010-06-14,5.006
2010-06-15,5.189
2010-06-16,4.978
2010-06-17,5.162
2010-06-18,4.997
2010-06-21,4.873
2010-06-22,4.756
2010-06-23,4.804
2010-06-24,4.748
2010-06-25,4.861
2010-06-28,4.717
2010-06-29,4.548
2010-06-30,4.616
2010-07-01,4.854
2010-07-02,4.687
2010-07-06,4.682
2010-07-07,4.565
2010-07-08,4.399
2010-07-09,4.402
2010-07-12,4.388
2010-07-13,4.354
2010-07-14,4.306
2010-07-15,4.586
2010-07-16,4.519
2010-07-19,4.51
2010-07-20,4.59
2010-07-21,4.513
2010-07-22,4.643
2010-07-23,4.58
2010-07-26,4.612
2010-07-27,4.675
2010-07-28,4.774
2010-07-29,4.827
2010-07-30,4.923
2010-08-02,4.701
2010-08-03,4.639
2010-08-04,4.737
2010-08-05,4.598
2010-08-06,4.467
2010-08-09,4.309
2010-08-10,4.297
2010-08-11,4.326
2010-08-12,4.296
2010-08-13,4.328
2010-08-16,4.228
2010-08-17,4.267
2010-08-18,4.239
2010-08-19,4.171
2010-08-20,4.117
2010-08-23,4.066
2010-08-24,4.039
2010-08-25,3.871
2010-08-26,3.817
2010-08-27,3.651
2010-08-30,3.812
2010-08-31,3.816
2010-09-01,3.762
2010-09-02,3.751
2010-09-03,3.939
2010-09-07,3.852
2010-09-08,3.814
2010-09-09,3.768
2010-09-10,3.883
2010-09-13,3.938
2010-09-14,3.966
2010-09-15,3.995
2010-09-16,4.062
2010-09-17,4.024
2010-09-20,3.822
2010-09-21,3.919
2010-09-22,3.966
2010-09-23,4.019
2010-09-24,3.881
2010-09-27,3.8
2010-09-28,3.837
2010-09-29,3.962
2010-09-30,3.872
2010-10-01,3.797
2010-10-04,3.727
2010-10-05,3.743
2010-10-06,3.865
2010-10-07,3.617
2010-10-08,3.651
2010-10-11,3.601
2010-10-12,3.629
2010-10-13,3.696
2010-10-14,3.657
2010-10-15,3.535
2010-10-18,3.431
2010-10-19,3.513
2010-10-20,3.539
2010-10-21,3.368
2010-10-25,3.317
2010-10-26,3.354
2010-10-27,3.292
2010-10-28,3.89
2010-11-01,3.832
2010-11-02,3.87
2010-11-03,3.836
2010-11-04,3.856
2010-11-08,4.088
2010-11-09,4.21
2010-11-10,4.046
2010-11-11,3.927
2010-11-15,3.845
2010-11-16,3.818
2010-11-17,4.03
2010-11-18,4.007
2010-11-22,4.271
2010-11-23,4.264
2010-11-24,4.267
2010-11-26,4.399
2010-11-29,4.21
2010-11-30,4.18
2010-12-01,4.269
2010-12-02,4.343
2010-12-06,4.488
2010-12-07,4.393
2010-12-08,4.606
2010-12-09,4.435
2010-12-13,4.42
2010-12-14,4.255
2010-12-15,4.222
2010-12-16,4.048
2010-12-20,4.237
2010-12-21,4.059
2010-12-22,4.152
2010-12-27,4.112
2010-12-28,4.216
2010-12-29,4.287
2010-12-30,4.338
2011-03-24,4.244
2011-03-25,4.403
2011-03-28,4.374
2011-03-29,4.24
2011-03-30,4.355
2011-03-31,4.389
2011-04-01,4.362
2011-04-04,4.289
2011-04-05,4.231
2011-04-06,4.146
2011-04-07,4.057
2011-04-08,4.041
2011-04-11,4.108
2011-04-12,4.098
2011-04-13,4.141
2011-04-14,4.212
2011-04-15,4.204
2011-04-18,4.138
2011-04-19,4.262
2011-04-20,4.31
2011-04-21,4.412
2011-04-25,4.389
2011-04-26,4.387
2011-04-27,4.377
2011-04-28,4.571
2011-04-29,4.698
2011-05-02,4.693
2011-05-03,4.67
2011-05-04,4.577
2011-05-05,4.261
2011-05-06,4.235
2011-05-09,4.154
2011-05-10,4.246
2011-05-11,4.181
2011-05-12,4.194
2011-05-13,4.246
2011-05-16,4.318
2011-05-17,4.182
2011-05-18,4.198
2011-05-19,4.094
2011-05-20,4.23
2011-05-23,4.346
2011-05-24,4.345
2011-05-25,4.379
2011-05-26,4.326
2011-05-27,4.518
2011-05-31,4.666
2011-06-01,4.629
2011-06-02,4.794
2011-06-03,4.707
2011-06-06,4.827
2011-06-07,4.831
2011-06-08,4.847
2011-06-09,4.674
2011-06-10,4.757
2011-06-13,4.646
2011-06-14,4.581
2011-06-15,4.577
2011-06-16,4.412
2011-06-17,4.325
2011-06-20,4.317
2011-06-21,4.388
2011-06-22,4.317
2011-06-23,4.193
2011-06-24,4.229
2011-06-27,4.256
2011-06-28,4.357
2011-06-29,4.315
2011-06-30,4.374
2011-07-01,4.311
2011-07-05,4.363
2011-07-06,4.217
2011-07-07,4.133
2011-07-08,4.205
2011-07-11,4.288
2011-07-12,4.333
2011-07-13,4.403
2011-07-14,4.378
2011-07-15,4.546
2011-07-18,4.546
2011-07-19,4.533
2011-07-20,4.5
2011-07-21,4.395
2011-07-22,4.399
2011-07-25,4.386
2011-07-26,4.37
2011-07-27,4.37
2011-07-28,4.244
2011-07-29,4.145
2011-08-01,4.188
2011-08-02,4.155
2011-08-03,4.09
2011-08-04,3.941
2011-08-05,3.941
2011-08-08,3.935
2011-08-09,3.994
2011-08-10,4.003
2011-08-11,4.108
2011-08-12,4.06
2011-08-15,4.024
2011-08-16,3.932
2011-08-17,3.933
2011-08-25,3.931
2011-08-26,3.931
2011-08-29,3.857
2011-08-30,3.909
2011-08-31,4.054
2011-09-01,4.05
2011-09-02,3.872
2011-09-06,3.938
2011-09-07,3.94
2011-09-08,3.98
2011-09-09,3.915
2011-09-12,3.885
2011-09-13,3.98
2011-09-14,4.039
2011-09-15,3.878
2011-09-16,3.809
2011-09-19,3.829
2011-09-20,3.798
2011-09-21,3.73
2011-09-22,3.705
2011-09-23,3.701
2011-09-26,3.782
2011-09-27,3.827
2011-09-28,3.759
2011-09-29,3.747
2011-09-30,3.666
2011-10-03,3.617
2011-10-04,3.638
2011-10-05,3.57
2011-10-06,3.598
2011-10-07,3.481
2011-10-10,3.541
2011-10-11,3.616
2011-10-12,3.489
2011-10-13,3.531
2011-10-14,3.703
2011-10-17,3.688
2011-10-18,3.553
2011-10-19,3.586
2011-10-20,3.63
2011-10-21,3.629
2011-10-24,3.604
2011-10-25,3.658
2011-10-26,3.59
2011-10-27,3.524
2011-10-28,3.923
2011-10-31,3.934
2011-11-01,3.781
2011-11-02,3.749
2011-11-03,3.778
2011-11-04,3.783
2011-11-07,3.696
