date,horizon,NG_level_forecast,OL_level_forecast,H
2025-10-21,1,3.396378870824347,61.00000945428086,10
2025-10-22,2,3.395905761127371,60.99012497119919,10
2025-10-23,3,3.3953985984560697,60.980037841275,10
2025-10-24,4,3.3948882191012024,60.97008141042566,10
2025-10-27,5,3.394405496804776,60.96013051899997,10
2025-10-28,6,3.3939509552591014,60.95018125165347,10
2025-10-29,7,3.3934868181357776,60.94023360812108,10
2025-10-30,8,3.3930218071158933,60.9302875881378,10
2025-10-31,9,3.392557838927724,60.92034319143864,10
2025-11-03,10,3.3920922911875615,60.910400417758666,10
2025-10-21,1,3.396378870824347,61.00000945428086,20
2025-10-22,2,3.395905761127371,60.99012497119919,20
2025-10-23,3,3.3953985984560697,60.980037841275,20
2025-10-24,4,3.3948882191012024,60.97008141042566,20
2025-10-27,5,3.394405496804776,60.96013051899997,20
2025-10-28,6,3.3939509552591014,60.95018125165347,20
2025-10-29,7,3.3934868181357776,60.94023360812108,20
2025-10-30,8,3.3930218071158933,60.9302875881378,20
2025-10-31,9,3.392557838927724,60.92034319143864,20
2025-11-03,10,3.3920922911875615,60.910400417758666,20
2025-11-04,11,3.391625473393407,60.900459266832975,20
2025-11-05,12,3.3911593753553344,60.89051973839673,20
2025-11-06,13,3.3906934959565604,60.880581832185136,20
2025-11-07,14,3.3902275780450966,60.870645547933414,20
2025-11-10,15,3.389761808607018,60.86071088537684,20
2025-11-11,16,3.3892961703727265,60.85077784425076,20
2025-11-12,17,3.388830553116606,60.84084642429052,20
2025-11-13,18,3.3883649875709625,60.83091662523154,20
2025-11-14,19,3.387899494721943,60.820988446809274,20
2025-11-17,20,3.3874340618584364,60.81106188875921,20
