commodity,date,level,horizon,scenario,level_lo95,level_hi95
NG,2025-10-21,3.3621663932873944,1,Normal,3.099574153299685,3.6470051358884903
NG,2025-10-21,3.359425573785319,1,Warm,3.097047397543499,3.6440321174142793
NG,2025-10-21,3.364909448913289,1,Cold,3.1021029705337337,3.6499805799282723
NG,2025-10-21,3.3621663932873944,1,Normal,3.099574153299685,3.6470051358884903
NG,2025-10-21,3.359425573785319,1,Warm,3.097047397543499,3.6440321174142793
NG,2025-10-21,3.364909448913289,1,Cold,3.1021029705337337,3.6499805799282723
NG,2025-10-22,3.3684584268963427,2,Normal,2.861632485757392,3.965048702166201
NG,2025-10-22,3.368982349867101,2,Warm,2.862077578082469,3.9656654175392188
NG,2025-10-22,3.367934585402795,2,Cold,2.8611874626502765,3.9644320827008834
NG,2025-10-22,3.3684584268963427,2,Normal,2.861632485757392,3.965048702166201
NG,2025-10-22,3.368982349867101,2,Warm,2.862077578082469,3.9656654175392188
NG,2025-10-22,3.367934585402795,2,Cold,2.8611874626502765,3.9644320827008834
NG,2025-10-23,3.3704455510284004,3,Normal,2.6385740557065076,4.305319074853633
NG,2025-10-23,3.374640462096678,3,Warm,2.641858067669666,4.310677544636378
NG,2025-10-23,3.366255854524185,3,Cold,2.6352941259969365,4.29996726601876
NG,2025-10-23,3.3704455510284004,3,Normal,2.6385740557065076,4.305319074853633
NG,2025-10-23,3.374640462096678,3,Warm,2.641858067669666,4.310677544636378
NG,2025-10-23,3.366255854524185,3,Cold,2.6352941259969365,4.29996726601876
NG,2025-10-24,3.349147261370841,4,Normal,2.416102894929268,4.642512287820498
NG,2025-10-24,3.354888395024769,4,Warm,2.4202445968488644,4.650470517618812
NG,2025-10-24,3.343415952370301,4,Cold,2.41196828059694,4.634567676734804
NG,2025-10-24,3.349147261370841,4,Normal,2.416102894929268,4.642512287820498
NG,2025-10-24,3.354888395024769,4,Warm,2.4202445968488644,4.650470517618812
NG,2025-10-24,3.343415952370301,4,Cold,2.41196828059694,4.634567676734804
NG,2025-10-25,3.3396484378146156,5,Normal,2.219904888539717,5.024202498844155
NG,2025-10-25,3.347343208018064,5,Warm,2.2250196957743373,5.035778592676804
NG,2025-10-25,3.3319713561136033,5,Cold,2.214801839067554,5.012653015782009
NG,2025-10-25,3.3396484378146156,5,Normal,2.219904888539717,5.024202498844155
NG,2025-10-25,3.347343208018064,5,Warm,2.2250196957743373,5.035778592676804
NG,2025-10-25,3.3319713561136033,5,Cold,2.214801839067554,5.012653015782009
NG,2025-10-26,3.345107147853938,6,Normal,2.0486982256912825,5.4618790070205705
NG,2025-10-26,3.354445619292389,6,Warm,2.0544175372173408,5.477126829841453
NG,2025-10-26,3.33579467387042,6,Cold,2.0429948362082064,5.446673632751278
NG,2025-10-26,3.345107147853938,6,Normal,2.0486982256912825,5.4618790070205705
NG,2025-10-26,3.354445619292389,6,Warm,2.0544175372173408,5.477126829841453
